Gene	MutSig(Q-value)	# Mut	#Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
SRM		1	1	499	0.2%	No
AWAT1		1	1	499	0.2%	No
U2AF2		1	1	499	0.2%	Yes
AWAT2		1	1	499	0.2%	No
KRIT1		3	3	499	0.6%	No
TSPOAP1		5	3	499	0.6%	No
BBLN		1	1	499	0.2%	No
KCNJ2		2	2	499	0.4%	No
KCNJ4		3	3	499	0.6%	No
NOP56		1	1	499	0.2%	No
KCNJ5		2	2	499	0.4%	Yes
KCNJ6		2	2	499	0.4%	No
NOP58		2	2	499	0.4%	No
COL26A1		3	3	499	0.6%	No
SSB		4	4	499	0.8%	No
KCNJ8		1	1	499	0.2%	No
GPKOW		2	2	499	0.4%	No
HTR5A		1	1	499	0.2%	No
SORL1		3	3	499	0.6%	No
MSMP		1	1	499	0.2%	No
DYTN		2	2	499	0.4%	No
CDKN2AIPNL		1	1	499	0.2%	No
UROC1		3	3	499	0.6%	No
IL2RB		1	1	499	0.2%	No
APLF		1	1	499	0.2%	No
PDCD2		1	1	499	0.2%	No
PDCD1		1	1	499	0.2%	Yes
KCNK1		1	1	499	0.2%	No
KCNK2		3	3	499	0.6%	No
NOP53		1	1	499	0.2%	No
BCAR1		3	2	499	0.4%	No
UNC79		9	9	499	1.8%	No
CDRT15		1	1	499	0.2%	No
SLC23A2		1	1	499	0.2%	No
CERK		1	1	499	0.2%	No
RCBTB2		1	1	499	0.2%	No
STS		1	1	499	0.2%	No
IL36A		1	1	499	0.2%	No
IL36B		1	1	499	0.2%	No
FBXO4		2	2	499	0.4%	No
TNFSF11		1	1	499	0.2%	No
BCRP7		1	1	499	0.2%	No
FBXO6		2	2	499	0.4%	No
FBXO5		2	2	499	0.4%	No
BSN		11	10	499	2.0%	No
ATXN7L2		1	1	499	0.2%	No
ATXN7L3		1	1	499	0.2%	No
LIMCH1		4	4	499	0.8%	No
BSX		1	1	499	0.2%	No
GOLPH3L		2	2	499	0.4%	No
BCS1L		2	2	499	0.4%	No
CFAP141		1	1	499	0.2%	No
BTD		1	1	499	0.2%	No
SNORC		1	1	499	0.2%	No
CRISPLD1		1	1	499	0.2%	No
SOAT2		3	3	499	0.6%	No
KCNQ1		2	2	499	0.4%	No
KCNQ2		2	2	499	0.4%	No
BTK		1	1	499	0.2%	Yes
KCNQ3		3	3	499	0.6%	No
MTCP1		1	1	499	0.2%	Yes
KCNQ5		2	2	499	0.4%	No
CES3		1	1	499	0.2%	No
CES2		2	1	499	0.2%	No
CES1		3	3	499	0.6%	No
CETP		2	2	499	0.4%	No
GRB7		2	2	499	0.4%	Yes
CERKL		1	1	499	0.2%	No
AARS1		2	2	499	0.4%	No
AARS2		2	1	499	0.2%	No
DHX8		2	2	499	0.4%	No
SDC4		1	1	499	0.2%	Yes
DHX9		1	1	499	0.2%	No
RRAD		1	1	499	0.2%	No
SDC3		1	1	499	0.2%	No
MYCBP2		10	9	499	1.8%	No
CWF19L2		2	2	499	0.4%	No
ZBTB5		1	1	499	0.2%	No
ZBTB4		2	2	499	0.4%	No
ZBTB3		2	2	499	0.4%	No
CFAP126		1	1	499	0.2%	No
ZBTB2		1	1	499	0.2%	No
NEU2		2	2	499	0.4%	No
PKHD1		10	9	499	1.8%	No
APOO		2	2	499	0.4%	No
NEU4		2	2	499	0.4%	No
MRNIP		3	3	499	0.6%	No
NKAIN3		1	1	499	0.2%	No
RACGAP1		1	1	499	0.2%	No
NEU1		1	1	499	0.2%	No
KCNN1		1	1	499	0.2%	No
STK38L		1	1	499	0.2%	No
KCNN2		6	6	499	1.2%	No
H3C3		1	1	499	0.2%	Yes
APOE		2	2	499	0.4%	No
KCNN3		3	3	499	0.6%	No
H3C2		1	1	499	0.2%	Yes
APOB		11	10	499	2.0%	No
KCNN4		1	1	499	0.2%	No
H3C7		1	1	499	0.2%	Yes
H3C6		1	1	499	0.2%	Yes
BBS2		2	2	499	0.4%	No
NTNG1		3	3	499	0.6%	No
BBS1		2	2	499	0.4%	No
NTNG2		1	1	499	0.2%	No
SLC10A5		1	1	499	0.2%	No
XBP1		1	1	499	0.2%	Yes
YES1		1	1	499	0.2%	Yes
TNFSF14		2	2	499	0.4%	No
APOBEC3G		1	1	499	0.2%	No
TNFSF15		1	1	499	0.2%	No
SLC10A2		5	5	499	1.0%	No
SPDYC		2	2	499	0.4%	No
SLC10A3		1	1	499	0.2%	No
IGF2		1	1	499	0.2%	Yes
DELE1		3	3	499	0.6%	No
SUCO		1	1	499	0.2%	No
CPLANE1		3	1	499	0.2%	No
NET1		3	3	499	0.6%	No
ZBTB9		2	2	499	0.4%	No
CYP26A1		1	1	499	0.2%	No
FBXL8		1	1	499	0.2%	No
PEX5L		1	1	499	0.2%	No
ZBTB6		1	1	499	0.2%	No
CWF19L1		4	3	499	0.6%	No
OR4D11		1	1	499	0.2%	No
ITGBL1		3	3	499	0.6%	No
OR4D10		2	2	499	0.4%	No
GRB2		1	1	499	0.2%	No
FBXL2		1	1	499	0.2%	No
FBXL4		1	1	499	0.2%	No
FBXL7		3	3	499	0.6%	No
LDHAL6A		1	1	499	0.2%	No
APOBEC3B		4	4	499	0.8%	Yes
FBXL6		2	2	499	0.4%	No
MSTN		2	2	499	0.4%	No
MRPS10		2	2	499	0.4%	No
C8B		2	2	499	0.4%	No
TFB1M		1	1	499	0.2%	No
C8A		3	1	499	0.2%	No
MC4R		1	1	499	0.2%	No
DMBX1		2	2	499	0.4%	No
KCNT1		4	4	499	0.8%	No
KCNT2		7	6	499	1.2%	No
SUFU		1	1	499	0.2%	Yes
RAC2		1	1	499	0.2%	Yes
FCER1A		1	1	499	0.2%	No
RAC3		2	2	499	0.4%	No
BBS9		5	5	499	1.0%	No
SDF4		1	1	499	0.2%	No
RAC1		1	1	499	0.2%	Yes
BBS7		1	1	499	0.2%	No
BBS5		1	1	499	0.2%	No
BBS4		4	4	499	0.8%	No
MRPS28		1	1	499	0.2%	No
H3C8		3	3	499	0.6%	Yes
PCYT1B		1	1	499	0.2%	No
ZHX2		3	2	499	0.4%	No
PCYT1A		1	1	499	0.2%	No
ZHX3		1	1	499	0.2%	No
SYK		2	2	499	0.4%	Yes
MRPS25		2	2	499	0.4%	No
MRPS22		1	1	499	0.2%	No
MST1		4	3	499	0.6%	Yes
MRPS23		1	1	499	0.2%	No
GAB1		1	1	499	0.2%	Yes
PRPF40B		3	3	499	0.6%	No
CACYBP		1	1	499	0.2%	No
GAB2		5	5	499	1.0%	Yes
TFB2M		3	3	499	0.6%	No
ZHX1		2	2	499	0.4%	No
APRT		1	1	499	0.2%	No
RNF144A		1	1	499	0.2%	No
CNKSR2		1	1	499	0.2%	No
MC3R		2	2	499	0.4%	No
CNKSR1		1	1	499	0.2%	No
KCNU1		4	3	499	0.6%	No
RAP2B		1	1	499	0.2%	No
PITPNM1		2	1	499	0.2%	No
PITPNM2	1.640e-12	2	1	499	0.2%	No
CNKSR3		1	1	499	0.2%	No
TAX1BP1		3	2	499	0.4%	No
TLCD4		1	1	499	0.2%	No
FAM193B		1	1	499	0.2%	No
FAM193A		4	4	499	0.8%	No
CYLC2		1	1	499	0.2%	No
MICU1		2	2	499	0.4%	No
CYLC1		1	1	499	0.2%	No
DYNC1I2		1	1	499	0.2%	No
SELPLG		2	2	499	0.4%	No
PRICKLE2		7	6	499	1.2%	No
MRPS30		1	1	499	0.2%	No
PRICKLE1		2	2	499	0.4%	No
MSX1		1	1	499	0.2%	No
RAE1		3	3	499	0.6%	No
DYNC1I1		2	2	499	0.4%	No
PEX16		1	1	499	0.2%	No
DYNC1H1		8	6	499	1.2%	No
MAP3K3		1	1	499	0.2%	No
MAP3K1		5	3	499	0.6%	Yes
SORT1		1	1	499	0.2%	No
GAD1		2	2	499	0.4%	No
GAD2		9	9	499	1.8%	No
KLHL2		3	3	499	0.6%	No
KLHL3		1	1	499	0.2%	No
KLHL4		3	3	499	0.6%	No
KCNRG		1	1	499	0.2%	No
PEX12		1	1	499	0.2%	No
CFAP157		2	2	499	0.4%	No
APTX		1	1	499	0.2%	No
KLHL9		2	2	499	0.4%	No
ETAA1		2	2	499	0.4%	Yes
PDCL3		1	1	499	0.2%	No
PDCL2		1	1	499	0.2%	No
TFAP4		4	3	499	0.6%	No
KCNS1		1	1	499	0.2%	No
KLHL5		1	1	499	0.2%	No
FHIP2A		1	1	499	0.2%	No
KCNS2		1	1	499	0.2%	No
FHIP2B		1	1	499	0.2%	No
KLHL6		2	2	499	0.4%	Yes
KCNS3		1	1	499	0.2%	No
KLHL7		3	3	499	0.6%	No
MC5R		1	1	499	0.2%	No
KLHL8		2	2	499	0.4%	No
CFAP161		1	1	499	0.2%	No
TACC3		3	2	499	0.4%	No
CACHD1		4	3	499	0.6%	No
HDGF		1	1	499	0.2%	No
TACC1		1	1	499	0.2%	No
TACC2		6	6	499	1.2%	No
MAMLD1		1	1	499	0.2%	No
ZFP28		4	4	499	0.8%	No
DENND5B		1	1	499	0.2%	No
INPPL1		1	1	499	0.2%	Yes
PLAT		3	3	499	0.6%	No
PLB1		2	2	499	0.4%	No
IGF1R		4	4	499	0.8%	Yes
TXN2		1	1	499	0.2%	No
TGM1		1	1	499	0.2%	No
ZNF81		1	1	499	0.2%	No
DMBT1		6	5	499	1.0%	No
PLAU		3	3	499	0.6%	No
PPIP5K2		5	2	499	0.4%	No
ZNF85		1	1	499	0.2%	No
ENPP2		4	4	499	0.8%	No
ENPP1		3	3	499	0.6%	No
RXYLT1		2	2	499	0.4%	No
ENPP4		2	2	499	0.4%	No
DENND5A		2	2	499	0.4%	No
TGM7		2	2	499	0.4%	No
ENPP3		2	2	499	0.4%	No
TGM6		5	5	499	1.0%	No
TGM5		2	2	499	0.4%	No
ENPP5		3	3	499	0.6%	No
TGM3		2	2	499	0.4%	No
RAG1	3.530e-2	11	10	499	2.0%	No
TGM2		2	1	499	0.2%	No
ENPP7		4	3	499	0.6%	No
CARD10		2	2	499	0.4%	No
MSX2		1	1	499	0.2%	No
ZGRF1		1	1	499	0.2%	No
ADAM11		2	2	499	0.4%	No
ADAM10		2	2	499	0.4%	No
ZNF98		2	2	499	0.4%	No
DNAJB13		1	1	499	0.2%	No
SDHC		2	2	499	0.4%	Yes
ZNF99		10	10	499	2.0%	No
DNAJB14		1	1	499	0.2%	No
SDHA		3	2	499	0.4%	Yes
SDHB		2	2	499	0.4%	Yes
ADAM19		2	2	499	0.4%	No
ADAM18		3	3	499	0.6%	No
ZNF91		12	12	499	2.4%	No
BRMS1		1	1	499	0.2%	No
ZNF92		1	1	499	0.2%	No
ADAM15		3	2	499	0.4%	No
ZNF93		2	2	499	0.4%	No
PSPC1		2	2	499	0.4%	No
CARD19		1	1	499	0.2%	No
ADAM12		3	3	499	0.6%	No
DNAJB11		1	1	499	0.2%	No
PLAA		6	5	499	1.0%	No
CARD18		1	1	499	0.2%	No
CARD16		2	2	499	0.4%	No
DENND6A		1	1	499	0.2%	No
RAF1		1	1	499	0.2%	Yes
CARD14		2	2	499	0.4%	No
CARD11		5	3	499	0.6%	Yes
OR1A2		1	1	499	0.2%	No
DIPK1B		1	1	499	0.2%	No
HTRA4		2	2	499	0.4%	No
HTRA1		1	1	499	0.2%	No
PLD5		1	1	499	0.2%	No
DAPP1		1	1	499	0.2%	No
HTRA2		1	1	499	0.2%	No
PLD4		1	1	499	0.2%	No
PLD1		3	3	499	0.6%	No
PLD2		2	2	499	0.4%	No
GRK1		2	2	499	0.4%	No
RAI1		5	5	499	1.0%	No
KCNV1		5	5	499	1.0%	No
KCNV2		2	1	499	0.2%	No
GRK4		1	1	499	0.2%	No
GRK7		1	1	499	0.2%	No
GRK6		3	3	499	0.6%	No
FGF20		1	1	499	0.2%	No
IL36RN		2	2	499	0.4%	No
FGF23		2	2	499	0.4%	Yes
PIBF1		1	1	499	0.2%	No
FGF21		1	1	499	0.2%	No
SPATA31A6		10	9	499	1.8%	No
SPATA31A7		2	2	499	0.4%	No
DENND4B		2	2	499	0.4%	No
DENND4A		4	3	499	0.6%	No
DENND4C		1	1	499	0.2%	No
FAM199X		1	1	499	0.2%	No
IGF2R		3	3	499	0.6%	No
FGF16		2	2	499	0.4%	No
SDK1		7	6	499	1.2%	No
IFT27		1	1	499	0.2%	No
FGF11		1	1	499	0.2%	No
SDK2		5	3	499	0.6%	No
FGF10		2	2	499	0.4%	Yes
ZMYND15		3	3	499	0.6%	No
ZMYND19		1	1	499	0.2%	No
MYSM1		1	1	499	0.2%	No
GRM1		11	11	499	2.2%	No
PITPNC1		2	2	499	0.4%	No
GRM3		4	4	499	0.8%	Yes
GRM2		3	2	499	0.4%	No
CA1		1	1	499	0.2%	No
GRM5		4	3	499	0.6%	No
LASP1		2	2	499	0.4%	Yes
CYP26B1		1	1	499	0.2%	No
GRM4		2	2	499	0.4%	No
EEF2K		5	5	499	1.0%	No
CA3		1	1	499	0.2%	No
GRM7		3	3	499	0.6%	No
ZIC2		2	2	499	0.4%	No
CA2		3	3	499	0.6%	No
GRM6		3	2	499	0.4%	No
ZIC3		2	2	499	0.4%	No
CA4		2	2	499	0.4%	No
GRM8		2	2	499	0.4%	No
ZIC1		3	3	499	0.6%	No
CA6		1	1	499	0.2%	No
CA9		2	2	499	0.4%	No
MYBL2		3	2	499	0.4%	No
CA8		4	4	499	0.8%	No
MYBL1		2	2	499	0.4%	Yes
IFT56		2	2	499	0.4%	No
SUN2		3	3	499	0.6%	No
CAD		9	4	499	0.8%	Yes
ATP6AP2		1	1	499	0.2%	No
HUNK		1	1	499	0.2%	No
EEF1G		1	1	499	0.2%	No
ELF1		1	1	499	0.2%	No
CFAP100		1	1	499	0.2%	No
ELF2		1	1	499	0.2%	No
IFT43		1	1	499	0.2%	No
GFOD1		1	1	499	0.2%	No
EEF1D		1	1	499	0.2%	No
ELF4		1	1	499	0.2%	Yes
CAT		2	2	499	0.4%	No
GFOD2		1	1	499	0.2%	No
